Geslacht,BMI,Woon,StapEst,ErvFASub1[Q],ErvFASub2[Q],ErvFA,DagZwa1,TijdZwa1[Uur],TijdZwa1[Min],DagMat1,TijdMat1[Uur],TijdMat1[Min],DagWan1,TijdWan1[Uur],TijdWan1[Min],IPAQTOT1,TijdZit1[Uur],TijdZit1[Min],Attitu[1],Attitu[2],AttituTot,SocOmg[1],SocOmg[2],SocOmgTot,ZelfEff[1],ZelfEff[2],ZelfEff[3],ZelfEff[4],ZelfEff[5],ZelfEff[6],ZelfEff[7],ZelfEff[8],ZelfEff[9],ZelfEff[10],ZelfEffTot,BeweegRichtlijn,Systeem,StapAantal[1],StapAantal[2],StapAantal[3],StapAantal[4],StapAantal[5],StapAantal[6],StapAantal[7],Comment[1],Comment[2],Comment[3],Comment[4],Comment[5],Comment[6],Comment[7],DagZwa2,TijdZwa2[Uur],TijdZwa2[Min],DagMat2,TijdMat2[Uur],TijdMat2[Min],DagWan2,TijdWan2[Uur],TijdWan2[Min],IPAQTOT2,TijdZit2[Uur],TijdZit2[Min]
Man,20.6,Uitwonend,7000.0,5.0,5.0,5.0,4.0,1.0,,7.0,,40.0,7.0,,20.0,3502.0,8.0,,6.0,6.0,6.0,2.0,2.0,2.0,Soms waar,Soms waar,Zelden waar,Soms waar,Helemaal niet waar,Zelden waar,Altijd waar,Soms waar,Altijd waar,Zelden waar,27.0,Ja,iPhone - gezondheidapp,12842.0,9058.0,11397.0,14961.0,7445.0,9062.0,10345.0,,,,,,,,5.0,0.0,50.0,5.0,,20.0,7.0,2.0,,5172.0,8.0,30.0
Vrouw,20.5,Uitwonend,10000.0,7.0,6.0,6.5,2.0,2.0,0.0,6.0,,30.0,4.0,1.0,,3432.0,5.0,,6.0,6.0,6.0,5.0,5.0,5.0,Altijd waar,Altijd waar,Altijd waar,Altijd waar,Soms waar,Altijd waar,Altijd waar,Altijd waar,Altijd waar,Soms waar,38.0,Ja,smartphone,12602.0,11999.0,4317.0,7649.0,7336.0,9415.0,14374.0,"niet perse, alleen in huis toen mijn telefoon aan de oplader lag","hockeytraining van 2 uur, intensief",mijn telefoon was een deel van de dag leeg en ik had helaas geen oplader,,hockeywedstrijd van anderhalf uur met daarvoor nog half uur warming up ,,hockeytraining 2 uur,3.0,2.0,,4.0,,30.0,4.0,,45.0,3954.0,6.0,30.0
Man,24.8,Uitwonend,10000.0,5.0,4.0,4.5,3.0,1.0,15.0,3.0,0.0,30.0,5.0,0.0,30.0,2655.0,4.0,0.0,6.0,6.0,6.0,6.0,5.0,5.5,Altijd waar,Soms waar,Altijd waar,Soms waar,Soms waar,Zelden waar,Soms waar,Altijd waar,Altijd waar,Altijd waar,34.0,Ja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man,30.0,Thuiswonend,7500.0,5.0,4.0,4.5,2.0,2.0,0.0,3.0,1.0,30.0,7.0,2.0,30.0,6465.0,6.0,0.0,6.0,6.0,6.0,5.0,2.0,3.5,Altijd waar,Soms waar,Soms waar,Altijd waar,Soms waar,Altijd waar,Soms waar,Altijd waar,Zelden waar,Soms waar,33.0,Ja,smartphone,12365.0,8791.0,8109.0,4844.0,8231.0,7342.0,10099.0,nvt,nvt,nvt,Ik ging voor ongeveer 2 uurtjes shoppen in rotterdam,nvt,nvt,nvt,1.0,2.0,0.0,3.0,2.0,30.0,7.0,1.0,30.0,4839.0,6.0,0.0
Man,21.0,Uitwonend,8000.0,5.0,4.0,4.5,1.0,0.0,50.0,6.0,0.0,30.0,3.0,0.0,20.0,1318.0,6.0,0.0,6.0,5.0,5.5,4.0,3.0,3.5,Altijd waar,Altijd waar,Altijd waar,Soms waar,Altijd waar,Altijd waar,Altijd waar,Altijd waar,Soms waar,Altijd waar,38.0,Nee,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19.5,,6000.0,2.0,2.0,2.0,0.0,,,4.0,1.0,0.0,7.0,3.0,0.0,5118.0,7.0,30.0,4.0,3.0,3.5,5.0,3.0,4.0,Soms waar,Altijd waar,Altijd waar,Soms waar,Zelden waar,Soms waar,Soms waar,Altijd waar,Soms waar,Soms waar,32.0,Nee,iphone,4827.0,5100.0,8400.0,5900.0,3100.0,6400.0,5200.0,"lopen zonder telefoon, half uur","lopen zonder telefoon, half uur","lopen zonder telefoon, half uur",,,"lopen zonder telefoon, half uur","lopen zonder telefoon, half uur",0.0,,,3.0,0.0,30.0,7.0,1.0,0.0,1746.0,9.0,0.0
Man,22.0,Thuiswonend,6000.0,6.0,6.0,6.0,2.0,2.0,0.0,3.0,1.0,30.0,7.0,0.0,15.0,3346.5,7.0,30.0,6.0,5.0,5.5,2.0,5.0,3.5,Altijd waar,Altijd waar,Altijd waar,Soms waar,Soms waar,Soms waar,Altijd waar,Soms waar,Altijd waar,Soms waar,35.0,Ja,iphone,6606.0,5265.0,5568.0,2214.0,7104.0,5191.0,5065.0,"voetbaltraining, 1 uur",,,"Tennis, 1,5 uur",,"voetbaltraining, 1 uur",,4.0,1.0,30.0,3.0,,30.0,7.0,,20.0,3702.0,9.0,
Vrouw,20.4,Uitwonend,6000.0,4.0,5.0,4.5,3.0,1.0,0.0,5.0,0.0,30.0,7.0,1.0,0.0,3426.0,7.0,0.0,7.0,7.0,7.0,6.0,5.0,5.5,Soms waar,Altijd waar,Altijd waar,Altijd waar,Soms waar,Soms waar,Altijd waar,Altijd waar,Altijd waar,Altijd waar,37.0,Nee,apple smartwatch,6489.0,9747.0,8724.0,12738.0,13245.0,6341.0,10508.0,,,,,,,,3.0,1.0,0.0,5.0,0.0,30.0,7.0,1.0,0.0,3426.0,7.0,0.0
Vrouw,23.0,Thuiswonend,7200.0,6.0,5.0,5.5,4.0,1.0,30.0,6.0,0.0,40.0,7.0,,,3840.0,6.0,30.0,6.0,6.0,6.0,3.0,5.0,4.0,Soms waar,Altijd waar,Soms waar,Soms waar,Soms waar,Soms waar,Soms waar,Soms waar,Altijd waar,Zelden waar,31.0,Ja,smartphone,11673.0,7547.0,3320.0,11510.0,12528.0,10761.0,10646.0,,,werken in de bediening in druk restaurant. duur= 8 uur(waarvan 5 super druk),,,"hardlopen, duur=10 minuten(ongeveer 1600 stappen)","lopen, duur=30 minuten(ongeveer 4000 stappen)",5.0,1.0,30.0,7.0,,25.0,7.0,1.0,,5686.0,7.0,30.0
Vrouw,22.0,Thuiswonend,7000.0,4.0,0.0,2.0,1.0,,,2.0,,15.0,7.0,,20.0,582.0,4.0,30.0,5.0,6.0,5.5,3.0,3.0,3.0,Altijd waar,Altijd waar,Soms waar,Soms waar,Zelden waar,Soms waar,Altijd waar,Altijd waar,Altijd waar,Altijd waar,35.0,Nee,smartphone,10320.0,6796.0,15999.0,5907.0,14795.0,9889.0,5998.0,nee,nee,nee,nee,nee,nee,nee,1.0,1.0,30.0,5.0,,30.0,7.0,,45.0,2359.5,6.0,
